City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hilo,40,US,1634746598,76,19.7297,-155.09,74.93,5.75
Prince Rupert,40,CA,1634743194,87,54.3161,-130.3201,48.29,11.5
Tiksi,100,RU,1634771671,93,71.6872,128.8694,13.89,6.2
Kaitangata,31,NZ,1634751301,63,-46.2817,169.8464,49.66,8.08
Ushuaia,40,AR,1634807313,46,-54.8,-68.3,46.06,10.36
Kumul,95,CN,1634774773,15,42.8,93.45,61.79,7.07
Rikitea,63,PF,1634739750,72,-23.1203,-134.9692,74.82,19.22
Castro,20,BR,1634805629,99,-24.7911,-50.0119,48.4,6.8
Dikson,100,RU,1634784337,56,73.5069,80.5464,27.54,8.39
Carutapera,23,BR,1634805853,85,-1.195,-46.02,77.85,5.5
Mujiayingzi,13,CN,1634768634,29,42.1167,118.7833,49.3,13.53
Ketchikan,90,US,1634743646,87,55.3422,-131.6461,50.47,9.22
Barrow,90,US,1634753577,86,71.2906,-156.7887,28.42,16.11
Hokitika,51,NZ,1634751372,58,-42.7167,170.9667,58.48,7.92
Ponta do Sol,95,PT,1634800611,74,32.6667,-17.1,74.01,6.6
Bredasdorp,61,ZA,1634788208,96,-34.5322,20.0403,56.28,3.6
Tuktoyaktuk,72,CA,1634747089,84,69.4541,-133.0374,25.61,5.39
Mar del Plata,0,AR,1634806557,46,-38.0023,-57.5575,57.87,11.99
Bethel,1,US,1634814740,79,41.3712,-73.414,66.22,0.0
Bluff,11,NZ,1634751631,63,-46.6,168.3333,49.06,12.77
Tāybād,0,IR,1634782042,42,34.74,60.7756,56.48,21.0
Albany,35,US,1634814971,73,42.6001,-73.9662,61.38,4.61
Ahipara,100,NZ,1634751444,96,-35.1667,173.1667,61.56,8.37
Hithadhoo,96,MV,1634777299,72,-0.6,73.0833,82.26,9.15
Vaini,91,TO,1634835860,67,-21.2,-175.2,74.25,17.94
Lālmohan,100,BD,1634774138,77,22.3384,90.7419,83.16,6.64
Tiarei,60,PF,1634743489,78,-17.5333,-149.3333,73.42,9.37
Lebu,100,CL,1634810446,92,-37.6167,-73.65,51.06,6.31
New Norfolk,82,AU,1634757097,42,-42.7826,147.0587,74.66,4.0
Tasiilaq,79,GL,1634809536,48,65.6145,-37.6368,41.16,9.64
Williams Lake,78,CA,1634740969,83,52.1415,-122.1445,35.22,1.01
Port Hedland,0,AU,1634765439,13,-20.3167,118.5667,96.85,5.75
Palafrugell,59,ES,1634796390,67,41.9174,3.1631,66.7,1.01
Kemijärvi,100,FI,1634794193,97,66.7131,27.4306,28.33,10.25
Bengkulu,22,ID,1634770151,68,-3.8004,102.2655,83.52,4.97
Pelym,13,RU,1634784534,76,61.0108,61.9978,29.89,4.41
Atuona,6,PF,1634741393,79,-9.8,-139.0333,77.76,18.45
Abnūb,0,EG,1634788708,69,27.2696,31.1511,65.25,10.16
Itarema,100,BR,1634804309,82,-2.9248,-39.9167,78.73,7.4
East London,40,ZA,1634786426,75,-33.0153,27.9116,62.92,11.74
Nanzhou,100,CN,1634769318,75,29.3596,112.4024,56.28,5.1
Esim,100,GH,1634795624,90,4.8699,-2.2405,76.19,6.35
Mataura,3,NZ,1634751545,42,-46.1927,168.8643,58.08,5.12
Kudahuvadhoo,37,MV,1634777492,70,2.6708,72.8944,82.56,11.36
Darhan,0,MN,1634772383,40,49.4867,105.9228,44.53,8.81
Airai,59,TL,1634764361,33,-8.9266,125.4092,82.26,2.28
Mehamn,40,NO,1634795687,60,71.0357,27.8492,35.55,9.22
Jamestown,1,US,1634816196,83,42.097,-79.2353,58.59,1.99
Kaohsiung City,40,TW,1634767053,65,22.6163,120.3133,87.75,8.01
Qaanaaq,77,GL,1634824327,96,77.484,-69.3632,9.07,5.01
Lake City,1,US,1634816198,94,30.1897,-82.6393,66.0,4.61
Codrington,99,AU,1634758695,63,-38.2667,141.9667,69.04,8.23
Isangel,100,VU,1634753317,92,-19.55,169.2667,76.42,15.61
Gorontalo,62,ID,1634765358,76,0.5412,123.0595,85.39,2.82
Mount Gambier,86,AU,1634759016,62,-37.8333,140.7667,67.66,10.22
Hong Kong,97,HK,1634768513,83,22.2855,114.1577,84.04,1.01
Busselton,97,AU,1634765418,68,-33.65,115.3333,63.05,13.62
Longyan,100,CN,1634767973,92,25.1072,117.0225,61.84,3.89
Paamiut,0,GL,1634811578,51,61.994,-49.6678,35.46,5.79
Hermanus,24,ZA,1634788410,81,-34.4187,19.2345,58.89,2.37
Khatanga,100,RU,1634778163,97,71.9667,102.5,24.82,3.11
Manicoré,91,BR,1634809306,75,-5.8092,-61.3003,78.82,1.7
Ribeira Grande,73,PT,1634803787,65,38.5167,-28.7,69.62,5.75
Kochevo,64,RU,1634786126,93,59.5994,54.3125,27.07,5.21
Yeppoon,95,AU,1634757571,69,-23.1333,150.7333,85.78,12.19
Haimen,91,CN,1634767971,77,23.1935,116.6142,77.59,12.17
Thai Binh,49,VN,1634770299,77,20.45,106.3333,73.4,5.39
Arrondissement de Clermont,83,FR,1634797254,80,49.5,2.4167,53.71,28.48
Santiago del Estero,0,AR,1634808868,34,-27.7951,-64.2615,66.81,8.79
Kalabo,100,ZM,1634788716,76,-14.97,22.6814,70.43,0.4
Kapaa,1,US,1634747731,76,22.0752,-159.319,80.58,14.97
Cabo San Lucas,5,MX,1634735911,73,22.8909,-109.9124,81.52,6.64
Yellowknife,100,CA,1634740659,89,62.456,-114.3525,41.41,11.99
Poconé,70,BR,1634807676,62,-16.2567,-56.6228,80.02,6.35
Moose Factory,97,CA,1634817394,71,51.2585,-80.6094,35.24,3.49
Vila Velha,75,BR,1634803546,88,-20.3297,-40.2925,66.15,9.22
Pevek,100,RU,1634760820,90,69.7008,170.3133,17.67,13.04
Saskylakh,100,RU,1634775348,96,71.9167,114.0833,18.57,8.79
Punta Arenas,75,CL,1634808183,53,-53.15,-70.9167,44.71,11.5
Palmer,90,US,1634814542,74,42.1584,-72.3287,62.53,3.44
Camacha,20,PT,1634800453,78,33.0833,-16.3333,70.54,11.5
Port Elizabeth,20,ZA,1634786925,94,-33.918,25.5701,59.29,4.61
Pathein,97,MM,1634772903,72,16.7833,94.7333,86.54,6.24
Tromsø,75,NO,1634797235,69,69.6496,18.957,30.85,3.0
George Town,20,MY,1634771031,74,5.4112,100.3354,84.13,2.3
São João da Barra,100,BR,1634803657,92,-21.6403,-41.0511,63.82,10.27
Port Alfred,68,ZA,1634786631,73,-33.5906,26.891,64.47,10.71
Taoudenni,0,ML,1634796897,32,22.6783,-3.9836,71.67,14.09
Basco,78,PH,1634766545,69,20.4487,121.9702,81.59,3.49
Hamilton,1,US,1634817245,79,39.1834,-84.5333,62.89,0.0
Ostrovnoy,100,RU,1634791707,92,68.0531,39.5131,31.3,18.63
