Category: All categories

Week,movies: (United States)
2016-12-04,55
2016-12-11,59
2016-12-18,76
2016-12-25,100
2017-01-01,78
2017-01-08,65
2017-01-15,67
2017-01-22,65
2017-01-29,58
2017-02-05,59
2017-02-12,61
2017-02-19,63
2017-02-26,64
2017-03-05,63
2017-03-12,69
2017-03-19,65
2017-03-26,63
2017-04-02,56
2017-04-09,57
2017-04-16,58
2017-04-23,54
2017-04-30,55
2017-05-07,57
2017-05-14,58
2017-05-21,62
2017-05-28,70
2017-06-04,61
2017-06-11,65
2017-06-18,68
2017-06-25,68
2017-07-02,73
2017-07-09,66
2017-07-16,69
2017-07-23,71
2017-07-30,67
2017-08-06,65
2017-08-13,62
2017-08-20,53
2017-08-27,53
2017-09-03,58
2017-09-10,54
2017-09-17,51
2017-09-24,52
2017-10-01,52
2017-10-08,62
2017-10-15,57
2017-10-22,56
2017-10-29,59
2017-11-05,57
2017-11-12,55
2017-11-19,73
2017-11-26,55
2017-12-03,52
2017-12-10,58
2017-12-17,67
2017-12-24,93
2017-12-31,74
2018-01-07,61
2018-01-14,65
2018-01-21,58
2018-01-28,56
2018-02-04,54
2018-02-11,61
2018-02-18,63
2018-02-25,57
2018-03-04,58
2018-03-11,58
2018-03-18,58
2018-03-25,62
2018-04-01,61
2018-04-08,56
2018-04-15,53
2018-04-22,55
2018-04-29,57
2018-05-06,53
2018-05-13,57
2018-05-20,55
2018-05-27,62
2018-06-03,57
2018-06-10,61
2018-06-17,65
2018-06-24,61
2018-07-01,68
2018-07-08,61
2018-07-15,63
2018-07-22,64
2018-07-29,62
2018-08-05,60
2018-08-12,58
2018-08-19,54
2018-08-26,52
2018-09-02,59
2018-09-09,53
2018-09-16,52
2018-09-23,51
2018-09-30,55
2018-10-07,55
2018-10-14,56
2018-10-21,55
2018-10-28,59
2018-11-04,56
2018-11-11,60
2018-11-18,73
2018-11-25,57
2018-12-02,54
2018-12-09,55
2018-12-16,63
2018-12-23,98
2018-12-30,85
2019-01-06,62
2019-01-13,60
2019-01-20,61
2019-01-27,55
2019-02-03,51
2019-02-10,57
2019-02-17,57
2019-02-24,54
2019-03-03,55
2019-03-10,55
2019-03-17,54
2019-03-24,55
2019-03-31,52
2019-04-07,49
2019-04-14,53
2019-04-21,61
2019-04-28,64
2019-05-05,57
2019-05-12,53
2019-05-19,55
2019-05-26,64
2019-06-02,56
2019-06-09,55
2019-06-16,61
2019-06-23,58
2019-06-30,64
2019-07-07,59
2019-07-14,60
2019-07-21,63
2019-07-28,58
2019-08-04,55
2019-08-11,55
2019-08-18,54
2019-08-25,48
2019-09-01,55
2019-09-08,48
2019-09-15,47
2019-09-22,47
2019-09-29,50
2019-10-06,53
2019-10-13,52
2019-10-20,53
2019-10-27,57
2019-11-03,52
2019-11-10,58
2019-11-17,57
2019-11-24,69
2019-12-01,54
2019-12-08,52
2019-12-15,57
2019-12-22,86
2019-12-29,80
2020-01-05,55
2020-01-12,54
2020-01-19,57
2020-01-26,51
2020-02-02,50
2020-02-09,57
2020-02-16,55
2020-02-23,46
2020-03-01,47
2020-03-08,49
2020-03-15,57
2020-03-22,59
2020-03-29,56
2020-04-05,57
2020-04-12,56
2020-04-19,51
2020-04-26,48
2020-05-03,47
2020-05-10,48
2020-05-17,45
2020-05-24,48
2020-05-31,42
2020-06-07,43
2020-06-14,45
2020-06-21,44
2020-06-28,45
2020-07-05,45
2020-07-12,45
2020-07-19,44
2020-07-26,44
2020-08-02,42
2020-08-09,43
2020-08-16,42
2020-08-23,44
2020-08-30,42
2020-09-06,46
2020-09-13,39
2020-09-20,40
2020-09-27,41
2020-10-04,42
2020-10-11,45
2020-10-18,47
2020-10-25,52
2020-11-01,37
2020-11-08,43
2020-11-15,45
2020-11-22,56
2020-11-29,45
2020-12-06,45
2020-12-13,50
2020-12-20,62
2020-12-27,62
2021-01-03,45
2021-01-10,44
2021-01-17,46
2021-01-24,46
2021-01-31,46
2021-02-07,44
2021-02-14,54
2021-02-21,46
2021-02-28,44
2021-03-07,42
2021-03-14,42
2021-03-21,42
2021-03-28,44
2021-04-04,41
2021-04-11,42
2021-04-18,43
2021-04-25,41
2021-05-02,41
2021-05-09,43
2021-05-16,42
2021-05-23,44
2021-05-30,52
2021-06-06,45
2021-06-13,45
2021-06-20,46
2021-06-27,50
2021-07-04,54
2021-07-11,51
2021-07-18,56
2021-07-25,48
2021-08-01,46
2021-08-08,47
2021-08-15,46
2021-08-22,46
2021-08-29,45
2021-09-05,49
2021-09-12,42
2021-09-19,42
2021-09-26,44
2021-10-03,40
2021-10-10,43
2021-10-17,40
2021-10-24,42
2021-10-31,42
2021-11-07,38
2021-11-14,38
2021-11-21,47
2021-11-28,38
