Category: All categories

Week,tiktok: (United States)
2018-12-09,1
2018-12-16,2
2018-12-23,1
2018-12-30,2
2019-01-06,2
2019-01-13,1
2019-01-20,2
2019-01-27,1
2019-02-03,1
2019-02-10,2
2019-02-17,2
2019-02-24,3
2019-03-03,2
2019-03-10,2
2019-03-17,2
2019-03-24,2
2019-03-31,2
2019-04-07,2
2019-04-14,2
2019-04-21,2
2019-04-28,2
2019-05-05,2
2019-05-12,2
2019-05-19,2
2019-05-26,2
2019-06-02,2
2019-06-09,3
2019-06-16,4
2019-06-23,4
2019-06-30,4
2019-07-07,5
2019-07-14,4
2019-07-21,5
2019-07-28,5
2019-08-04,5
2019-08-11,6
2019-08-18,6
2019-08-25,7
2019-09-01,36
2019-09-08,51
2019-09-15,48
2019-09-22,28
2019-09-29,8
2019-10-06,8
2019-10-13,9
2019-10-20,10
2019-10-27,9
2019-11-03,9
2019-11-10,10
2019-11-17,10
2019-11-24,13
2019-12-01,12
2019-12-08,12
2019-12-15,13
2019-12-22,16
2019-12-29,20
2020-01-05,19
2020-01-12,19
2020-01-19,21
2020-01-26,18
2020-02-02,20
2020-02-09,22
2020-02-16,22
2020-02-23,23
2020-03-01,23
2020-03-08,23
2020-03-15,32
2020-03-22,39
2020-03-29,40
2020-04-05,43
2020-04-12,46
2020-04-19,48
2020-04-26,45
2020-05-03,43
2020-05-10,40
2020-05-17,44
2020-05-24,43
2020-05-31,38
2020-06-07,39
2020-06-14,40
2020-06-21,45
2020-06-28,47
2020-07-05,100
2020-07-12,49
2020-07-19,44
2020-07-26,87
2020-08-02,83
2020-08-09,49
2020-08-16,46
2020-08-23,49
2020-08-30,47
2020-09-06,60
2020-09-13,80
2020-09-20,68
2020-09-27,45
2020-10-04,45
2020-10-11,42
2020-10-18,42
2020-10-25,42
2020-11-01,35
2020-11-08,42
2020-11-15,47
2020-11-22,47
2020-11-29,49
2020-12-06,47
2020-12-13,47
2020-12-20,47
2020-12-27,50
2021-01-03,48
2021-01-10,51
2021-01-17,51
2021-01-24,54
2021-01-31,58
2021-02-07,58
2021-02-14,58
2021-02-21,57
2021-02-28,54
2021-03-07,52
2021-03-14,48
2021-03-21,51
2021-03-28,50
2021-04-04,52
2021-04-11,53
2021-04-18,60
2021-04-25,53
2021-05-02,53
2021-05-09,53
2021-05-16,54
2021-05-23,55
2021-05-30,61
2021-06-06,68
2021-06-13,68
2021-06-20,57
2021-06-27,55
2021-07-04,65
2021-07-11,56
2021-07-18,55
2021-07-25,53
2021-08-01,52
2021-08-08,53
2021-08-15,52
2021-08-22,51
2021-08-29,49
2021-09-05,50
2021-09-12,52
2021-09-19,50
2021-09-26,53
2021-10-03,48
2021-10-10,47
2021-10-17,48
2021-10-24,50
2021-10-31,47
2021-11-07,49
2021-11-14,50
2021-11-21,51
2021-11-28,47
