City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ambilobe,100,MG,1634782477,86,-13.2,49.05,68.2,2.84
Thompson,100,CA,1634735579,76,55.7435,-97.8558,30.04,5.39
Busselton,93,AU,1634765418,64,-33.65,115.3333,59.09,15.97
Souillac,5,MU,1634780073,83,-20.5167,57.5167,71.37,7.63
Hualmay,85,PE,1634726596,85,-11.0964,-77.6139,63.75,10.8
Kruisfontein,100,ZA,1634787121,61,-34.0033,24.7314,61.83,2.53
Hithadhoo,100,MV,1634777299,74,-0.6,73.0833,81.61,9.48
Hay River,32,CA,1634740689,71,60.8156,-115.7999,39.02,9.06
Ushuaia,20,AR,1634721054,42,-54.8,-68.3,46.06,11.5
Tolbazy,39,RU,1634784925,96,54.0241,55.8825,30.96,9.71
Mataura,1,NZ,1634751545,40,-46.1927,168.8643,57.96,2.3
Port Hardy,75,CA,1634742078,93,50.6996,-127.4199,51.98,6.91
Punta Arenas,40,CL,1634721916,49,-53.15,-70.9167,46.51,18.41
Bluff,10,NZ,1634751631,59,-46.6,168.3333,49.59,9.89
Berezovyy,75,RU,1634765463,64,51.6667,135.7,32.34,2.64
Villa Carlos Paz,0,AR,1634722359,43,-31.4241,-64.4978,70.39,1.99
Te Anau,15,NZ,1634751898,66,-45.4167,167.7167,51.91,3.22
Castro,15,BR,1634719280,94,-24.7911,-50.0119,51.13,9.19
Port Alfred,87,ZA,1634786631,83,-33.5906,26.891,62.67,12.44
Longyearbyen,0,SJ,1634804977,62,78.2186,15.6401,13.84,5.75
Kaitangata,20,NZ,1634751301,54,-46.2817,169.8464,53.38,7.58
Ribeira Grande,81,PT,1634803787,64,38.5167,-28.7,70.27,4.47
Bongandanga,100,CD,1634789881,100,1.5,21.05,69.04,2.01
Hong Kong,100,HK,1634768513,81,22.2855,114.1577,82.45,1.99
Pevek,100,RU,1634760820,91,69.7008,170.3133,18.16,13.13
Havøysund,100,NO,1634796436,64,70.9963,24.6622,29.28,29.82
Forsytheganj,100,BY,1634791038,62,52.6333,29.7333,52.32,15.93
North Platte,1,US,1634734822,70,41.1239,-100.7654,43.38,1.99
Hofn,44,IS,1634803793,57,64.2539,-15.2082,33.96,9.95
